"id","nume","pret","data","magazin","link","categorie","subcategorie","descriere"
"P-1808526","Rexona Rollon Invisible Pure 50 ml",8.99,2021-10-09,"cora","https://www.cora.ro/rexona-rollon-invisible-pure-50-ml-P-1808526","Casa si familie","Frumusete si ingrijire","Fii activa cu deodorantul antiperspirant roll on Rexona invisible Pure.. UM: buc. InStoc: AVAILABLE"
"P-1905233","Gerocossen Natural crema zi 100ml",20.09,2021-10-09,"cora","https://www.cora.ro/gerocossen-natural-crema-zi-100ml-P-1905233","Casa si familie","Frumusete si ingrijire","Crema zi antirid.. UM: buc. InStoc: AVAILABLE"
"P-2011658","Crema nutritiva de zi FPS 15 Nivea 50ml",21.94,2021-10-09,"cora","https://www.cora.ro/crema-nutritiva-de-zi-fps-15-nivea-50ml-P-2011658","Casa si familie","Frumusete si ingrijire","Crema este imbogatita cu ulei de migdale si Hydra IQ: hidrateaza in profunzime, hraneste tenul datorita formulei delicate, lasandu-l sanatos si frumos. Testata dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-2070362","Killys gel intaritor keratina 3in1 10ml",22.19,2021-10-09,"cora","https://www.cora.ro/killys-gel-intaritor-keratina-3in1-10ml-P-2070362","Casa si familie","Frumusete si ingrijire","Gelul intaritor cu Keratina de la KillyS este transparent si poate fi utilizat ca lac de unghii. Este recommandat datorita efectului keratinei pentru protejarea unghiilor si are efect antiexfoliere.. UM: buc. InStoc: AVAILABLE"
"P-2082680","Nivea Care Cashmere gel de dus 250 ml",12.16,2021-10-09,"cora","https://www.cora.ro/nivea-care-cashmere-gel-de-dus-250-ml-P-2082680","Casa si familie","Frumusete si ingrijire","Lasa gelul de dus crema cu extract de casmir sa iti rasfete pielea cu spuma sa delicata, in timp ce parfumul sau senzual de orhidee iti inunda simturile. Atentie evita contactul cu ochii.. UM: buc. InStoc: AVAILABLE"
"P-2106016","Gel de par Taft Looks Titane Power Fixare ultra puternica rezistent la umiditate 150 ml",18.09,2021-10-09,"cora","https://www.cora.ro/gel-de-par-taft-looks-titane-power-fixare-ultra-puternica-rezistent-la-umiditate-150-ml-P-2106016","Casa si familie","Frumusete si ingrijire","24 h de fixare ultra puternica ce rezista inclusiv umiditatii. fara a lipi firele de par si fara a lasa reziduuri. Usor de indepartat prin spalare. Nivel 6 de fixare.. UM: buc. InStoc: AVAILABLE"
"P-2186341","Farmec Ultrarezistent 050 lac de unghii 11 ml",8.8,2021-10-09,"cora","https://www.cora.ro/farmec-ultrarezistent-050-lac-de-unghii-11-ml-P-2186341","Casa si familie","Frumusete si ingrijire","In nuante intense sau pale, sidefate sau mate, lacurile Farmec rezista pe unghii timp indelungat, conferindu-le luciu si stralucire. Lacurile Ultrarezistent au o pensula lata care faciliteaza aplicarea lacului pe unghii.. UM: buc. InStoc: AVAILABLE"
"P-2244053","Farmec Ultrarezistent 315 lac de unghii 11 ml",8.8,2021-10-09,"cora","https://www.cora.ro/farmec-ultrarezistent-315-lac-de-unghii-11-ml-P-2244053","Casa si familie","Frumusete si ingrijire","In nuante intense sau pale, sidefate sau mate, lacurile Farmec rezista pe unghii timp indelungat, conferindu-le luciu si stralucire. Lacurile Ultrarezistent au o pensula lata care faciliteaza aplicarea lacului pe unghii.. UM: buc. InStoc: AVAILABLE"
"P-2302915","Elmiplant Cellufight gel anticelulitic 200ml",18.25,2021-10-09,"cora","https://www.cora.ro/elmiplant-cellufight-gel-anticelulitic-200ml-P-2302915","Casa si familie","Frumusete si ingrijire","Gel anticelulitic pentru drenaj. UM: buc. InStoc: AVAILABLE"
"P-2304518","Winny sampon musetel 750 ml",3.19,2021-10-09,"cora","https://www.cora.ro/winny-sampon-musetel-750-ml-P-2304518","Casa si familie","Frumusete si ingrijire","Sampon de musetel.. UM: buc. InStoc: AVAILABLE"
"P-2318914","Wellaton 0040 Saten Mediu vopsea de par",15.19,2021-10-09,"cora","https://www.cora.ro/wellaton-0040-saten-mediu-vopsea-de-par-P-2318914","Casa si familie","Frumusete si ingrijire","A fost special creata pentru a oferi parului o culoare intensa, stralucire incredibila si acoperire perfecta a parului carunt.. UM: buc. InStoc: AVAILABLE"
"P-2318915","Wellaton 0070 Blond Mediu vopsea de par",15.19,2021-10-09,"cora","https://www.cora.ro/wellaton-0070-blond-mediu-vopsea-de-par-P-2318915","Casa si familie","Frumusete si ingrijire","A fost special creata pentru a oferi parului o culoare intensa, stralucire incredibila si acoperire perfecta a parului carunt.. UM: buc. InStoc: AVAILABLE"
"P-2328144","Perie pneumatica pentru par Boreal",30.29,2021-10-09,"cora","https://www.cora.ro/perie-pneumatica-pentru-par-boreal-P-2328144","Casa si familie","Frumusete si ingrijire","Perie de par profesionala, in forma ovala cu peri din plastic. Rezistenta la temperaturi ridicate.. UM: buc. InStoc: AVAILABLE"
"P-2329665","Periuta de dinti Silver Care White + 5 periute interdentare",22.79,2021-10-09,"cora","https://www.cora.ro/periuta-de-dinti-silver-care-white-5-periute-interdentare-P-2329665","Casa si familie","Frumusete si ingrijire","Periuta de dinti Silver Care White + 5 periute interdentare cu o structura speciala a fibrelor, impregnate cu carbonat de calciu, ce garanteaza o curatare eficace si previne formarea tartrului.. UM: buc. InStoc: AVAILABLE"
"P-2332039","Loncolor Ultra vopsea de par 6 7 rosu pasional",12.49,2021-10-09,"cora","https://www.cora.ro/loncolor-ultra-vopsea-de-par-6-7-rosu-pasional-P-2332039","Casa si familie","Frumusete si ingrijire","Vopsea crema permanenta, cu amoniac, cu un complex natural de ingrediente (ulei de migdale, proteine din grau si vitamina C), ce este usor de aplicat, acopera perfect firele albe si confera stralucire si vitalitate parului.. UM: buc. InStoc: AVAILABLE"
"P-2332044","Loncolor Ultra vopsea de par 10 1 blond cenusiu deschis",12.49,2021-10-09,"cora","https://www.cora.ro/loncolor-ultra-vopsea-de-par-10-1-blond-cenusiu-deschis-P-2332044","Casa si familie","Frumusete si ingrijire","Vopsea crema permanenta, cu amoniac, cu un complex natural de ingrediente (ulei de migdale, proteine din grau si vitamina C) si usor de aplicat, acoperind perfect firele albe si conferind stralucire si vitalitate parului.. UM: buc. InStoc: AVAILABLE"
"P-2347964","Sampon anti-matreata KJMN Kallos Cosmetics 500ml",13.39,2021-10-09,"cora","https://www.cora.ro/sampon-anti-matreata-kjmn-kallos-cosmetics-500ml-P-2347964","Casa si familie","Frumusete si ingrijire","Sampon-crema contra matretii, pentru intarirea parului. Recomandat pentru par normal, cu predispozitie la ingrasare. Produsul ingrijeste pielea capului, elimina matreata si impiedica reaparitia acesteia.. UM: buc. InStoc: AVAILABLE"
"P-2351451","NIVEA Gel de dus Care Starfruit 500ml",16.96,2021-10-09,"cora","https://www.cora.ro/nivea-gel-de-dus-care-starfruit-500ml-P-2351451","Casa si familie","Frumusete si ingrijire","Lasa gelul de dus cu lapte de aloe vera sa iti rasfete pielea cu spuma sa delicata, in timp ce parfumul feminin al fructului stea ii revigoreaza simturile. Formula hidratanta iti ingrijeste pielea, lasand-o catifelata.. UM: buc. InStoc: AVAILABLE"
"P-2363804","Gillette Simply Venus2 aparat ras 4buc",13.09,2021-10-09,"cora","https://www.cora.ro/gillette-simply-venus2-aparat-ras-4buc-P-2363804","Casa si familie","Frumusete si ingrijire","Aparat ras 2 lame. UM: buc. InStoc: AVAILABLE"
"P-2392377","Me&Mom Emulsie Antivergeturi 200ml",17.49,2021-10-09,"cora","https://www.cora.ro/me-mom-emulsie-antivergeturi-200ml-P-2392377","Casa si familie","Frumusete si ingrijire","Produs fara parabeni, care stimuleaza regenerarea celulara. Contine galbenele, musetel si patlagina.. UM: buc. InStoc: AVAILABLE"
"P-2410965","Crema de dus Tesori d'Oriente Hammam 250ml",9.99,2021-10-09,"cora","https://www.cora.ro/crema-de-dus-tesori-d-oriente-hammam-250ml-P-2410965","Casa si familie","Frumusete si ingrijire","Crema de dus imbogatita cu ulei de argan, curata pielea in profunzime, lasand-o neteda, catifelata si matasoasa la atingere.. UM: buc. InStoc: AVAILABLE"
"P-2417020","cora sapun lichid Olive 500 ml",7.09,2021-10-09,"cora","https://www.cora.ro/cora-sapun-lichid-olive-500-ml-P-2417020","Casa si familie","Frumusete si ingrijire","Sapunul lichid imbogatit cu vitamina F, glicerina si extract de masline confera pielii un efect intens de regenerare, hidratare si catifelare.. UM: buc. InStoc: AVAILABLE"
"P-2425932","Miss Sporty Lac de unghii Lasting Colour 80 Fatal Black 7 ml",7.33,2021-10-09,"cora","https://www.cora.ro/miss-sporty-lac-de-unghii-lasting-colour-80-fatal-black-7-ml-P-2425932","Casa si familie","Frumusete si ingrijire","Lacul de de unghii Lasting Color este aliatul tau pentru o manichiura perfecta si rezistenta.Beneficii:Stralucire ca de gel.Formula rezistenta � pana la 10 zile.Pensula MAXI pentru aplicare usoara.. UM: buc. InStoc: AVAILABLE"
"P-2435495","Rezerva ceara pentru picioare si corp Veet EasyWax 50ml",34.89,2021-10-09,"cora","https://www.cora.ro/rezerva-ceara-pentru-picioare-si-corp-veet-easywax-50ml-P-2435495","Casa si familie","Frumusete si ingrijire","Ceara de unica folosinta Veet EasyWax garanteaza indepartarea firului de par foarte scurt, chiar de la radacina. Pachetul contine 1 rezerva de ceara pentru  picioare si corp, 12 benzi depilatoare, 4 servetele Perfect Finish si 1 prospect.. UM: buc. InStoc: AVAILABLE"
"P-2435962","Cora absorbante igienice ultra subtiri 10 bucati",6.69,2021-10-09,"cora","https://www.cora.ro/cora-absorbante-igienice-ultra-subtiri-10-bucati-P-2435962","Casa si familie","Frumusete si ingrijire","Absorbante igienice foarte subtiri, cu aripioare, ideale pentru noapte.. UM: buc. InStoc: AVAILABLE"
"P-1051322","Wellaton 0120 Blond Special Luminios vopsea de par",15.19,2021-10-09,"cora","https://www.cora.ro/wellaton-0120-blond-special-luminios-vopsea-de-par-P-1051322","Casa si familie","Frumusete si ingrijire","A fost special creata pentru a oferi parului o culoare intensa, stralucire incredibila si acoperire perfecta a parului carunt.. UM: buc. InStoc: AVAILABLE"
"P-1051418","Vopsea de par Wellaton Intense Color Cream 55/46 rosu exotic",15.19,2021-10-09,"cora","https://www.cora.ro/vopsea-de-par-wellaton-intense-color-cream-55-46-rosu-exotic-P-1051418","Casa si familie","Frumusete si ingrijire","Crema coloranta cu amoniac, ce ofera parului o culoare intensa, stralucire incredibila si acoperire perfecta a parului carunt, nuanta 55/46 rosu exotic.. UM: buc. InStoc: AVAILABLE"
"P-1051419","Vopsea de par Wellaton Intense Color Cream 66/46 rosu cireasa",15.19,2021-10-09,"cora","https://www.cora.ro/vopsea-de-par-wellaton-intense-color-cream-66-46-rosu-cireasa-P-1051419","Casa si familie","Frumusete si ingrijire","Crema coloranta cu amoniac, ce ofera parului o culoare intensa, stralucire incredibila si acoperire perfecta a parului carunt, nuanta 66/46 rosu cireasa.. UM: buc. InStoc: AVAILABLE"
"P-1715203","Schwarzkopf Palette Deluxe Oil-Care Color 880/4-99 Aubergine",16.21,2021-10-09,"cora","https://www.cora.ro/schwarzkopf-palette-deluxe-oil-care-color-880-4-99-aubergine-P-1715203","Casa si familie","Frumusete si ingrijire","Vopseaua-crema bogata cu pigmenti de culoare foarte concentrati ofera rezultate de durata, culori extraordinare, care rezista pana la 10 saptamani.. UM: buc. InStoc: AVAILABLE"
"P-1740331","Balsam dupa ras Nivea Men Cool Kick 100ml",29.09,2021-10-09,"cora","https://www.cora.ro/balsam-dupa-ras-nivea-men-cool-kick-100ml-P-1740331","Casa si familie","Frumusete si ingrijire","Formula usoara a balsamului Cool Kick se absoarbe rapid in piele fara a lasa urme grase pe piele, calmeaza si revigoreaza.. UM: buc. InStoc: AVAILABLE"
"P-1793889","Revlon Color Silk vopsea de par 30 Dark Brown",20.79,2021-10-09,"cora","https://www.cora.ro/revlon-color-silk-vopsea-de-par-30-dark-brown-P-1793889","Casa si familie","Frumusete si ingrijire","Vopsea de par, fara amoniac, ce asigura culoare si stralucire de lunga durata cu Revlon 3D Color Technology si o combinatie de coloranti special alesi, balsamuri si polimeri ce confera parului definire si volum de la radacina pana la varf.. UM: buc. InStoc: AVAILABLE"
