"nume","stele","pret","moneda","oras","mic_dejun","tip_camera","data_checkin","data_checkout","data_culegere"
"Alnis Boutique Villa",4,900,"RON","Constanta",FALSE,"Cameră dublă Deluxe cu balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Cherica",4,968,"RON","Constanta",TRUE,"Suită Junior","2022-04-25","2022-04-27",2022-04-04
"Hotel Carol",4,512,"RON","Constanta",TRUE,"Cameră Queen","2022-04-25","2022-04-27",2022-04-04
"Ambra Boutique Hotel & Bistro",4,520,"RON","Constanta",TRUE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Villa Roberto",3,220,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Class",3,500,"RON","Constanta",TRUE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Dobrogea",2,240,"RON","Constanta",FALSE,"Cameră twin","2022-04-25","2022-04-27",2022-04-04
"Guci Hotel",3,500,"RON","Constanta",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Kleyn",3,280,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Nevada",4,580,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel New Derby",3,281,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Arion Hotel",3,290,"RON","Constanta",FALSE,"Cameră Queen standard ","2022-04-25","2022-04-27",2022-04-04
"Hotel Maria",3,420,"RON","Constanta",TRUE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Ramada by Wyndham Constanta",4,706,"RON","Constanta",TRUE,"Cameră King - de nefumători","2022-04-25","2022-04-27",2022-04-04
"CoolKush Boutique",3,438,"RON","Constanta",FALSE,"Cameră dublă Deluxe cu balcon","2022-04-25","2022-04-27",2022-04-04
"Peninsula Boutique Hotel",4,730,"RON","Constanta",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"EKA Residence",3,378,"RON","Constanta",TRUE,"Cameră twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Ana",3,540,"RON","Constanta",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Bulevard",4,471,"RON","Constanta",TRUE,"Cameră dublă/twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Golden Rose",3,438,"RON","Constanta",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"VILA OPT",4,1040,"RON","Constanta",TRUE,"Cameră Queen superioară ","2022-04-25","2022-04-27",2022-04-04
"Hotel Ferdinand",3,800,"RON","Constanta",TRUE,"Suită","2022-04-25","2022-04-27",2022-04-04
"Casa Tomis",3,374,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Ramada by Wyndham Constanta",4,706,"RON","Constanta",TRUE,"Cameră King - de nefumători","2022-04-25","2022-04-27",2022-04-04
"CoolKush Boutique",3,438,"RON","Constanta",FALSE,"Cameră dublă Deluxe cu balcon","2022-04-25","2022-04-27",2022-04-04
"Peninsula Boutique Hotel",4,730,"RON","Constanta",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"EKA Residence",3,378,"RON","Constanta",TRUE,"Cameră twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Ana",3,540,"RON","Constanta",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Bulevard",4,471,"RON","Constanta",TRUE,"Cameră dublă/twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Golden Rose",3,438,"RON","Constanta",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"VILA OPT",4,1040,"RON","Constanta",TRUE,"Cameră Queen superioară ","2022-04-25","2022-04-27",2022-04-04
"Hotel Ferdinand",3,800,"RON","Constanta",TRUE,"Suită","2022-04-25","2022-04-27",2022-04-04
"Casa Tomis",3,374,"RON","Constanta",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Afrodita -Valenii De Munte",4,518,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Rina Cerbul",2,470,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Sinaia",4,614,"RON","Prahova",TRUE,"Cameră de tip buget - fără balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Tantzi",2,420,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Bastion",3,726,"RON","Prahova",TRUE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Central",4,594,"RON","Prahova",FALSE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Angelo d'Oro",3,446,"RON","Prahova",TRUE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Bucegi",3,705,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Conac Bavaria",3,532,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Carpathia",4,962,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Casa Leul Busteni",3,516,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Cumpatu",4,1534,"RON","Prahova",FALSE,"Cameră dublă Executive","2022-04-25","2022-04-27",2022-04-04
"Hotel boutique Vila LaKastel",4,852,"RON","Prahova",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"Albert Hotel",3,440,"RON","Prahova",FALSE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Prahova Plaza",4,1000,"RON","Prahova",TRUE,"Cameră King - acces la centrul spa","2022-04-25","2022-04-27",2022-04-04
"Hotel Belmont",4,2156,"RON","Prahova",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"Sky Blue Hotel & Spa",5,1203,"RON","Prahova",TRUE,"Cameră Deluxe dublă sau twin - acces la facilităţi de wellness","2022-04-25","2022-04-27",2022-04-04
"Hotel Breaza",2,460,"RON","Prahova",FALSE,"Cameră triplă cu balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Ciucas",3,509,"RON","Prahova",FALSE,"Cameră triplă cu baie","2022-04-25","2022-04-27",2022-04-04
"Hotel Cheia",2,444,"RON","Prahova",FALSE,"Cameră dublă cu balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Coquette",3,500,"RON","Prahova",TRUE,"Cameră King superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel Oscar",3,496,"RON","Prahova",FALSE,"Cameră dublă sau twin superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel Afrodita -Valenii De Munte",4,518,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Rina Cerbul",2,470,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Sinaia",4,614,"RON","Prahova",TRUE,"Cameră de tip buget - fără balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Tantzi",2,420,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Bastion",3,726,"RON","Prahova",TRUE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Central",4,594,"RON","Prahova",FALSE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Angelo d'Oro",3,446,"RON","Prahova",TRUE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Bucegi",3,705,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Conac Bavaria",3,532,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Carpathia",4,962,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Casa Leul Busteni",3,516,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Cumpatu",4,1534,"RON","Prahova",FALSE,"Cameră dublă Executive","2022-04-25","2022-04-27",2022-04-04
"Hotel boutique Vila LaKastel",4,852,"RON","Prahova",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"Albert Hotel",3,440,"RON","Prahova",FALSE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Prahova Plaza",4,1000,"RON","Prahova",TRUE,"Cameră King - acces la centrul spa","2022-04-25","2022-04-27",2022-04-04
"Hotel Belmont",4,2156,"RON","Prahova",TRUE,"Cameră Dublă Deluxe","2022-04-25","2022-04-27",2022-04-04
"Sky Blue Hotel & Spa",5,1203,"RON","Prahova",TRUE,"Cameră Deluxe dublă sau twin - acces la facilităţi de wellness","2022-04-25","2022-04-27",2022-04-04
"Hotel Breaza",2,460,"RON","Prahova",FALSE,"Cameră triplă cu balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Ciucas",3,509,"RON","Prahova",FALSE,"Cameră triplă cu baie","2022-04-25","2022-04-27",2022-04-04
"Hotel Cheia",2,444,"RON","Prahova",FALSE,"Cameră dublă cu balcon","2022-04-25","2022-04-27",2022-04-04
"Hotel Coquette",3,500,"RON","Prahova",TRUE,"Cameră King superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel Oscar",3,496,"RON","Prahova",FALSE,"Cameră dublă sau twin superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel Yarus",3,407,"RON","Prahova",TRUE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Regina",3,471,"RON","Prahova",TRUE,"Cameră twin","2022-04-25","2022-04-27",2022-04-04
"Azuga Ski & Bike Resort",3,342,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Forum",3,398,"RON","Prahova",FALSE,"Cameră twin superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel Yarus Plus",3,420,"RON","Prahova",TRUE,"Cameră King","2022-04-25","2022-04-27",2022-04-04
"Hotel Nord",2,420,"RON","Prahova",TRUE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"Regal 1880",3,600,"RON","Prahova",FALSE,"Cameră dublă - Mansardă","2022-04-25","2022-04-27",2022-04-04
"Pensiunea Raisa",3,340,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Excelsior Boutique Hotel Sinaia",3,580,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel International",4,1099,"RON","Prahova",TRUE,"Cameră twin standard cu balcon și acces la spa","2022-04-25","2022-04-27",2022-04-04
"Vila Arizto",3,624,"RON","Prahova",TRUE,"Cameră dublă superioară","2022-04-25","2022-04-27",2022-04-04
"Hotel SYM",3,318,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel Maryo",3,300,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Vigo Hotel",4,570,"RON","Prahova",TRUE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"President",3,589,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Arca Lui Noe",4,623,"RON","Prahova",TRUE,"Cameră twin tip buget","2022-04-25","2022-04-27",2022-04-04
"Hotel Daly",3,300,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Hotel City Ploiesti",4,638,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Lux Garden Hotel",5,1040,"RON","Prahova",TRUE,"Cameră dublă sau twin standard","2022-04-25","2022-04-27",2022-04-04
"President Luxury",4,769,"RON","Prahova",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Acapulco Hotel",3,590,"RON","Prahova",TRUE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Moviliţa Residence",5,3000,"RON","Prahova",TRUE,"Apartament cu 2 dormitoare","2022-04-25","2022-04-27",2022-04-04
"Bianca House",3,337,"RON","Prahova",FALSE,"Cameră dublă Economy","2022-04-25","2022-04-27",2022-04-04
"Suru Hotel",3,590,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"HOTEL MUNTENIA",3,297,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Bistro 29",3,298,"RON","Prahova",FALSE,"Cameră dublă Economy","2022-04-25","2022-04-27",2022-04-04
"Hotel Riviera",2,370,"RON","Prahova",FALSE,"Cameră twin cu balcon","2022-04-25","2022-04-27",2022-04-04
"Moviliţa Residence",5,3000,"RON","Prahova",TRUE,"Apartament cu 2 dormitoare","2022-04-25","2022-04-27",2022-04-04
"Bianca House",3,337,"RON","Prahova",FALSE,"Cameră dublă Economy","2022-04-25","2022-04-27",2022-04-04
"Suru Hotel",3,590,"RON","Prahova",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"HOTEL MUNTENIA",3,297,"RON","Prahova",FALSE,"Cameră dublă sau twin","2022-04-25","2022-04-27",2022-04-04
"Bistro 29",3,298,"RON","Prahova",FALSE,"Cameră dublă Economy","2022-04-25","2022-04-27",2022-04-04
"Hotel Riviera",2,370,"RON","Prahova",FALSE,"Cameră twin cu balcon","2022-04-25","2022-04-27",2022-04-04
